gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
PHF21A,0,0,0,1,0,1
PHGDH,0,0,0,1,0,1
PHKA1,0,0,0,1,0,1
PHKG1,0,0,0,1,0,1
PIGB,0,1,0,0,0,1
PHLDB2,1,0,0,0,0,1
PHOX2A,0,0,0,0,1,1
PHPT1,1,0,0,0,0,1
PHTF1,0,0,0,1,0,1
PHTF2,0,1,0,0,0,1
PHYKPL,0,0,0,1,0,1
PICK1,0,0,0,1,0,1
PIDD1,1,0,0,0,0,1
PIF1,0,0,0,1,0,1
PHLDA1,0,1,0,0,0,1
OPRD1,0,0,0,1,0,1
OPTN,0,0,0,0,1,1
OR10Z1,0,1,0,0,0,1
OR2AG1,0,1,0,0,0,1
OR8B8,0,1,0,0,0,1
OR8D1,0,1,0,0,0,1
ORAI2,0,0,0,1,0,1
ORC1,0,1,0,0,0,1
PCDHGA3,0,1,0,0,0,1
OSCAR,0,1,0,0,0,1
OSGEP,1,0,0,0,0,1
OSGIN1,0,0,0,1,0,1
OSR2,0,1,0,0,0,1
OTUD1,0,0,0,1,0,1
OVGP1,0,0,0,1,0,1
OVOL1,0,0,0,1,0,1
OXCT1,0,0,0,1,0,1
ORMDL1,0,0,0,1,0,1
NTHL1,0,0,0,1,0,1
NTRK1,0,0,0,0,1,1
NUDC,1,0,0,0,0,1
NUDT1,1,0,0,0,0,1
NUDT5,1,0,0,0,0,1
NUDT8,0,0,0,1,0,1
NUF2,0,0,0,1,0,1
NUP50,0,0,0,1,0,1
OMG,0,1,0,0,0,1
NUPR1,0,1,0,0,0,1
NXF1,0,0,0,1,0,1
OAZ1,1,0,0,0,0,1
ODC1,0,1,0,0,0,1
OFD1,0,0,0,1,0,1
OGT,0,0,0,1,0,1
OIP5,0,0,0,1,0,1
OLAH,0,1,0,0,0,1
OLR1,0,0,0,1,0,1
NUP85,0,1,0,0,0,1
PAQR8,0,1,0,0,0,1
PARK7,1,0,0,0,0,1
PARP1,0,0,0,0,1,1
PARP2,0,1,0,0,0,1
PARP6,0,0,0,1,0,1
PATL2,0,0,0,1,0,1
PBK,0,0,0,0,1,1
PBX2,0,0,0,0,1,1
OXSR1,0,0,0,0,1,1
PCBP4,0,0,0,1,0,1
PCDH1,0,1,0,0,0,1
PCDH10,0,1,0,0,0,1
PCDH12,0,1,0,0,0,1
PCDH9,1,0,0,0,0,1
PCDHGA1,0,1,0,0,0,1
PCDHGA10,0,1,0,0,0,1
PCDHGA11,0,1,0,0,0,1
PCBP2,1,0,0,0,0,1
P2RX4,0,0,0,1,0,1
P2RX7,0,0,0,1,0,1
P2RY14,0,0,0,1,0,1
P2RY8,0,1,0,0,0,1
P4HA1,0,1,0,0,0,1
P4HA2,0,1,0,0,0,1
PABIR1,0,1,0,0,0,1
PABPC1L,0,0,0,1,0,1
PAQR3,0,1,0,0,0,1
PAFAH2,0,0,0,1,0,1
PAG1,0,1,0,0,0,1
PAK4,0,0,0,0,1,1
PAK6,0,1,0,0,0,1
PALD1,0,0,0,1,0,1
PALM2AKAP2,0,1,0,0,0,1
PAN2,0,0,0,1,0,1
PAN3,0,0,0,1,0,1
PANK1,0,0,0,1,0,1
PADI4,1,0,0,0,0,1
TRIAP1,1,0,0,0,0,1
TRIB1,0,1,0,0,0,1
TRIM10,0,1,0,0,0,1
TRIM15,0,1,0,0,0,1
TRIM22,0,0,0,1,0,1
TRIM24,0,0,0,0,1,1
TRIM25,0,0,0,0,1,1
TRIM28,0,0,0,0,1,1
S100A11,1,0,0,0,0,1
TRIM4,0,0,0,1,0,1
TRIM73,0,0,0,1,0,1
TRIM74,0,0,0,1,0,1
TRIM8,0,0,0,1,0,1
TRMT44,0,0,0,1,0,1
TRNT1,0,0,0,1,0,1
TSC1,0,0,0,1,0,1
TSC2,0,0,0,1,0,1
TRIM38,0,0,0,1,0,1
TOMM7,1,0,0,0,0,1
TOPBP1,0,0,0,0,1,1
TOPORS,0,0,0,0,1,1
TOX4,0,0,0,1,0,1
TP53BP2,0,0,0,0,1,1
TPI1,1,0,0,0,0,1
TPM3,1,0,0,0,0,1
TPM4,1,0,0,0,0,1
TRH,0,0,0,1,0,1
TPT1,0,0,0,1,0,1
TRAF1,0,0,0,1,0,1
TRAF2,0,0,0,0,1,1
TRAK2,0,1,0,0,0,1
TRAPPC1,1,0,0,0,0,1
TRBC2,1,0,0,0,0,1
TREML2,0,1,0,0,0,1
TRG-AS1,1,0,0,0,0,1
TRGC1,1,0,0,0,0,1
TPRA1,0,0,0,1,0,1
TUFM,1,0,0,0,0,1
TUFT1,0,1,0,0,0,1
TWF2,1,0,0,0,0,1
TWSG1,0,1,0,0,0,1
TYK2,0,0,0,0,1,1
TYROBP,1,0,0,0,0,1
UAP1,0,1,0,0,0,1
UBASH3A,0,1,0,0,0,1
TSC22D1,1,0,0,0,0,1
UBE2H,0,0,0,1,0,1
UBE2L3,0,0,0,0,1,1
UBE2S,0,1,0,0,0,1
UBLCP1,0,1,0,0,0,1
UBR2,0,0,0,1,0,1
UBTF,0,1,0,0,0,1
UBXN10,0,1,0,0,0,1
UCP3,0,0,0,1,0,1
UBE2C,0,0,0,1,0,1
TSEN34,0,0,0,1,0,1
TSKU,0,1,0,0,0,1
TSPAN13,0,1,0,0,0,1
TSPAN3,1,0,0,0,0,1
TSPAN32,0,1,0,0,0,1
TSPAN7,0,0,0,1,0,1
TTBK2,0,0,0,1,0,1
TTC14,0,0,0,1,0,1
TUBGCP6,0,0,0,1,0,1
TTC21A,0,0,0,1,0,1
TTC30A,0,1,0,0,0,1
TTC30B,0,1,0,0,0,1
TTLL3,0,0,0,1,0,1
TTN,0,0,0,1,0,1
TUBB2B,0,1,0,0,0,1
TUBB3,0,1,0,0,0,1
TUBB4B,1,0,0,0,0,1
TUBB6,1,0,0,0,0,1
TTC17,0,0,0,1,0,1
THBS1,0,0,0,1,0,1
THSD8,0,1,0,0,0,1
TICRR,0,0,0,1,0,1
TIGD2,0,1,0,0,0,1
TIMM17B,1,0,0,0,0,1
TIMM9,0,0,0,1,0,1
TINAGL1,0,1,0,0,0,1
TIPARP,0,0,0,1,0,1
TOM1L2,0,0,0,1,0,1
TLCD2,0,0,0,1,0,1
TM2D2,0,0,0,1,0,1
TM7SF2,0,0,0,1,0,1
TMBIM1,0,0,0,1,0,1
TMCC2,0,1,0,0,0,1
TMED9,1,0,0,0,0,1
TMEM11,1,0,0,0,0,1
TMEM116,0,1,0,0,0,1
TKT,1,0,0,0,0,1
TDP2,0,0,0,0,1,1
TDRD6,0,0,0,1,0,1
TDRD9,0,0,0,1,0,1
TEC,0,1,0,0,0,1
TECTA,0,0,0,1,0,1
TENT5A,1,0,0,0,0,1
TENT5B,0,1,0,0,0,1
TERF1,0,0,0,0,1,1
THAP6,0,0,0,1,0,1
TESK1,0,0,0,1,0,1
TEX2,0,0,0,1,0,1
TF,0,0,0,1,0,1
TFAM,0,0,0,0,1,1
TFCP2,0,0,0,0,1,1
TFEB,0,0,0,0,1,1
TGFB1,0,0,0,0,1,1
TGFBR1,0,0,0,0,1,1
TGIF1,0,0,0,1,0,1
TERT,0,0,0,1,0,1
TMEM98,1,0,0,0,0,1
TMOD4,0,0,0,1,0,1
TMPRSS11F,0,1,0,0,0,1
TMPRSS4,0,1,0,0,0,1
TMPRSS9,0,0,0,1,0,1
TMSB4X,1,0,0,0,0,1
TMTC2,0,1,0,0,0,1
TMX4,0,1,0,0,0,1
TMEM127,0,1,0,0,0,1
TNFAIP8L2,0,1,0,0,0,1
TNFRSF18,1,0,0,0,0,1
TNFRSF19,0,0,0,1,0,1
TNFSF5,0,0,0,1,0,1
TNK2,0,0,0,1,0,1
TNKS1BP1,0,0,0,0,1,1
TNS1,0,1,0,0,0,1
TOB2,0,0,0,1,0,1
TOM1,0,0,0,1,0,1
TNFAIP8,0,1,0,0,0,1
TMEM136,0,0,0,1,0,1
TMEM140,0,1,0,0,0,1
TMEM158,0,1,0,0,0,1
TMEM169,0,1,0,0,0,1
TMEM178A,0,0,0,1,0,1
TMEM187,0,0,0,1,0,1
TMEM199,0,1,0,0,0,1
TMEM219,0,0,0,1,0,1
TMEM91,0,0,0,1,0,1
TMEM256-PLSCR3,0,1,0,0,0,1
TMEM259,0,0,0,1,0,1
TMEM263,0,1,0,0,0,1
TMEM273,0,1,0,0,0,1
TMEM41B,0,0,0,1,0,1
TMEM42,0,0,0,1,0,1
TMEM63B,0,1,0,0,0,1
TMEM86B,0,0,0,1,0,1
TMEM9,0,1,0,0,0,1
TMEM232,0,1,0,0,0,1
ZNF597,0,1,0,0,0,1
ZNF606,0,1,0,0,0,1
ZNF618,0,1,0,0,0,1
pp13439,0,0,0,1,0,1
ZNF641,0,1,0,0,0,1
ZNF655,0,1,0,0,0,1
ZNF674,0,0,0,1,0,1
ZNF682,0,1,0,0,0,1
UGT2B28,0,1,0,0,0,1
ZNF746,0,0,0,1,0,1
ZNF75A,0,1,0,0,0,1
ZNF75D,0,0,0,1,0,1
ZNF77,0,1,0,0,0,1
ZNF80,0,1,0,0,0,1
ZNF843,0,0,0,1,0,1
ZNF846,0,0,0,1,0,1
ZNF862,0,0,0,1,0,1
ZNF706,0,0,0,1,0,1
ZCWPW1,0,0,0,1,0,1
ZDHHC12,0,0,0,1,0,1
ZDHHC24,1,0,0,0,0,1
ZDHHC3,0,0,0,1,0,1
ZDHHC5,0,0,0,0,1,1
ZER1,0,0,0,1,0,1
ZFAS1,1,0,0,0,0,1
ZFP36,1,0,0,0,0,1
ZNF594,0,1,0,0,0,1
ZFYVE27,0,0,0,1,0,1
ZKSCAN4,0,0,0,1,0,1
ZMAT1,0,0,0,1,0,1
ZMIZ2,0,0,0,1,0,1
ZMYND12,0,0,0,1,0,1
ZMYND8,0,0,0,0,1,1
ZNF558,0,0,0,1,0,1
ZNF580,0,0,0,1,0,1
ZNF581,0,0,0,1,0,1
ZFYVE1,0,0,0,1,0,1
ACSS2,0,0,0,1,0,1
ACTB,0,0,0,0,1,1
ACTN4,0,0,0,0,1,1
ACVR2A,0,1,0,0,0,1
ACVRL1,0,1,0,0,0,1
ACY1,0,1,0,0,0,1
ACYP2,0,0,0,1,0,1
ADAM11,0,0,0,1,0,1
ZNF90,0,1,0,0,0,1
ADAMTS7,0,1,0,0,0,1
ADAMTS9,0,1,0,0,0,1
ADAP1,0,0,0,1,0,1
ADCY4,0,0,0,1,0,1
ADGRB2,0,1,0,0,0,1
ADGRE1,0,1,0,0,0,1
ADH6,0,1,0,0,0,1
ADHFE1,0,0,0,1,0,1
ADAMTS13,0,0,0,1,0,1
ZNFX1,0,0,0,1,0,1
ZSCAN30,0,0,0,1,0,1
ZSWIM1,0,0,0,1,0,1
ZSWIM7,0,0,0,1,0,1
ZSWIM8,0,0,0,1,0,1
ZXDC,0,0,0,1,0,1
hDV102S1,0,0,0,1,0,1
mmp20,0,0,0,1,0,1
ACSM2B,0,1,0,0,0,1
ACAP3,0,0,0,1,0,1
ACBD7,0,1,0,0,0,1
ACD,0,0,0,0,1,1
ACLY,0,0,0,1,0,1
ACOT11,0,0,0,1,0,1
ACOT7,0,0,0,1,0,1
ABCA1,0,0,0,1,0,1
ACRBP,0,0,0,1,0,1
ACRC,0,0,0,1,0,1
ABCB1,0,1,0,0,0,1
VASH2,0,0,0,1,0,1
VASN,0,1,0,0,0,1
VDAC1,0,0,0,1,0,1
VENTX,0,1,0,0,0,1
VGF,0,1,0,0,0,1
VIM,0,0,0,0,1,1
VKORC1,0,1,0,0,0,1
VMAC,0,0,0,1,0,1
ZCCHC8,0,0,0,1,0,1
VPS37B,1,0,0,0,0,1
VPS39,0,0,0,1,0,1
VPS9D1,0,0,0,1,0,1
VSIR,1,0,0,0,0,1
VWA5A,0,0,0,1,0,1
WAS,0,0,0,0,1,1
WASH4P,0,0,0,1,0,1
WASHC1,1,0,0,0,0,1
VN1R1,0,0,0,1,0,1
ULK1,0,0,0,1,0,1
UNC79,0,0,0,1,0,1
UNKL,0,0,0,1,0,1
UQCRB,1,0,0,0,0,1
UQCRC1,1,0,0,0,0,1
UQCRFS1,1,0,0,0,0,1
UROD,0,1,0,0,0,1
USF2,0,0,0,0,1,1
VASH1,0,0,0,1,0,1
USP20,0,0,0,0,1,1
USP28,0,0,0,0,1,1
USP35,0,0,0,1,0,1
USP38,0,1,0,0,0,1
USP44,0,1,0,0,0,1
USPL1,0,0,0,1,0,1
UTP3,0,1,0,0,0,1
VAMP2,0,0,0,0,1,1
VAMP8,1,0,0,0,0,1
USP1,1,0,0,0,0,1
XIAP,0,0,0,0,1,1
XIST,1,0,0,0,0,1
YBX3,0,1,0,0,0,1
YES1,0,0,0,0,1,1
YIF1A,0,1,0,0,0,1
YPEL3,0,0,0,1,0,1
YPEL4,0,1,0,0,0,1
YPEL5,1,0,0,0,0,1
WBP1,0,0,0,1,0,1
ZBTB14,0,0,0,1,0,1
ZBTB20,1,0,0,0,0,1
ZBTB22,0,0,0,1,0,1
ZBTB32,0,0,0,1,0,1
ZBTB43,0,0,0,1,0,1
ZBTB48,0,0,0,1,0,1
ZBTB7B,0,0,0,1,0,1
ZBTB8A,0,1,0,0,0,1
ZC3H12C,0,1,0,0,0,1
ZBTB12,0,0,0,1,0,1
WBP2,0,0,0,0,1,1
WDFY2,0,0,0,1,0,1
WDFY3,0,1,0,0,0,1
WDR18,1,0,0,0,0,1
WDR19,0,0,0,1,0,1
WDR22,0,0,0,1,0,1
WDR34,1,0,0,0,0,1
WDR45B,0,0,0,0,1,1
XBP1,1,0,0,0,0,1
WDR88,0,0,0,1,0,1
WDR91,0,0,0,1,0,1
WDTC1,0,0,0,1,0,1
WEE1,0,0,0,1,0,1
WNT10B,0,1,0,0,0,1
WNT2B,0,1,0,0,0,1
WRN,0,0,0,0,1,1
WT1,0,0,0,0,1,1
WUGSC:H_RG122E10.2a,0,0,0,1,0,1
WDR62,0,0,0,0,1,1
SH3PXD2B,0,1,0,0,0,1
SH3RF3,0,0,0,1,0,1
SH3TC1,0,0,0,1,0,1
SHC1,0,0,0,0,1,1
SHC2,0,1,0,0,0,1
SHC4,0,0,0,1,0,1
SHMT1,0,0,0,0,1,1
SHMT2,1,0,0,0,0,1
TCP11L2,0,0,0,1,0,1
SIAE,0,0,0,1,0,1
SIDT2,0,0,0,1,0,1
SIGLEC14,0,1,0,0,0,1
SIGLEC8,0,1,0,0,0,1
SIPA1L1,0,1,0,0,0,1
SIPA1L2,0,1,0,0,0,1
SIRT1,0,0,0,0,1,1
SIRT3,0,0,0,0,1,1
SHOC2,0,0,0,0,1,1
SERPINB1,1,0,0,0,0,1
SERPINB8,0,1,0,0,0,1
SERPINC1,0,1,0,0,0,1
SERPINE1,0,1,0,0,0,1
SERPINE2,0,1,0,0,0,1
SERPING1,1,0,0,0,0,1
SERTAD3,0,0,0,1,0,1
SESTD1,0,1,0,0,0,1
SH3KBP1,0,1,0,0,0,1
SGIP1,0,0,0,1,0,1
SGK2,0,0,0,1,0,1
SGSM2,0,0,0,1,0,1
SH2B1,0,0,0,0,1,1
SH2D1B,0,1,0,0,0,1
SH2D2A,0,1,0,0,0,1
SH3BGRL2,0,1,0,0,0,1
SH3D21,0,1,0,0,0,1
SH3GL3,0,1,0,0,0,1
SFXN5,0,0,0,1,0,1
SLC25A6,1,0,0,0,0,1
SLC26A1,0,1,0,0,0,1
SLC26A2,0,1,0,0,0,1
SLC26A6,0,1,0,0,0,1
SLC2A12,0,1,0,0,0,1
SLC2A13,0,1,0,0,0,1
SLC2A3,1,0,0,0,0,1
SLC2A9,0,1,0,0,0,1
SIRT7,0,0,0,0,1,1
SLC30A8,0,1,0,0,0,1
SLC35F6,0,1,0,0,0,1
SLC37A1,0,0,0,1,0,1
SLC37A4,0,1,0,0,0,1
SLC38A1,0,1,0,0,0,1
SLC38A4,0,1,0,0,0,1
SLC38A5,0,1,0,0,0,1
SLC38A7,0,1,0,0,0,1
SLC30A4,0,0,0,1,0,1
SIVA1,1,0,0,0,0,1
SKI,0,0,0,0,1,1
SKOR1,0,0,0,1,0,1
SLA,0,0,0,1,0,1
SLAMF7,0,0,1,0,0,1
SLC10A3,0,0,0,1,0,1
SLC12A7,0,1,0,0,0,1
SLC12A8,0,1,0,0,0,1
SLC25A5,1,0,0,0,0,1
SLC17A7,0,1,0,0,0,1
SLC19A1,0,1,0,0,0,1
SLC1A3,0,0,0,0,1,1
SLC1A5,1,0,0,0,0,1
SLC22A18,0,0,0,1,0,1
SLC22A5,0,1,0,0,0,1
SLC24A3,0,0,0,1,0,1
SLC25A28,0,0,0,1,0,1
SLC25A29,0,1,0,0,0,1
SLC16A5,0,0,0,1,0,1
RPS26,1,0,0,0,0,1
RPS27,1,0,0,0,0,1
RPS27L,1,0,0,0,0,1
RPS4Y1,1,0,0,0,0,1
RPS6KA1,1,0,0,0,0,1
RPS6KA2,0,0,0,1,0,1
RPS6KA4,0,0,0,0,1,1
RPUSD3,1,0,0,0,0,1
SERP1,1,0,0,0,0,1
RRAS,0,0,0,1,0,1
RRH,0,0,0,1,0,1
RRM1,0,0,0,1,0,1
RRM2,0,1,0,0,0,1
RRN3,0,0,0,0,1,1
RSAD2,0,0,0,1,0,1
RSPH1,0,0,0,1,0,1
RTN4R,0,1,0,0,0,1
RRAGB,0,0,0,1,0,1
RPL22L1,1,0,0,0,0,1
RPL23,1,0,0,0,0,1
RPL30,1,0,0,0,0,1
RPL34,1,0,0,0,0,1
RPL35,0,1,0,0,0,1
RPL35A,1,0,0,0,0,1
RPL36,1,0,0,0,0,1
RPL36AL,1,0,0,0,0,1
RPS2,1,0,0,0,0,1
RPL41,1,0,0,0,0,1
RPL7,0,0,0,1,0,1
RPLP0,1,0,0,0,0,1
RPLP2,0,0,0,1,0,1
RPN1,1,0,0,0,0,1
RPP25,0,1,0,0,0,1
RPS11,0,0,0,1,0,1
RPS15,0,0,0,1,0,1
RPS19BP1,1,0,0,0,0,1
RPL37A,1,0,0,0,0,1
SCN11A,0,0,0,1,0,1
SCN1B,0,1,0,0,0,1
SCN3A,0,1,0,0,0,1
SCYL2,0,1,0,0,0,1
SDF2,0,0,0,1,0,1
SDF2L1,1,0,0,0,0,1
SDF4,0,0,1,0,0,1
SDHD,1,0,0,0,0,1
RUBCNL,0,1,0,0,0,1
SDR42E1,0,1,0,0,0,1
SEC11A,1,0,0,0,0,1
SEC13,0,1,0,0,0,1
SELENOH,1,0,0,0,0,1
SELENOP,1,0,0,0,0,1
SELL,1,0,0,0,0,1
SEMA3F,0,1,0,0,0,1
SEMA4G,0,1,0,0,0,1
SERF2,1,0,0,0,0,1
SDR39U1,0,0,0,1,0,1
RUNDC3A,0,0,0,1,0,1
RUNX1,0,0,0,0,1,1
RUVBL2,1,0,0,0,0,1
RXFP1,1,0,0,0,0,1
RXRA,0,0,0,0,1,1
S100A10,1,0,0,0,0,1
MRPL28,1,0,0,0,0,1
S100A4,0,0,1,0,0,1
SCG3,0,1,0,0,0,1
SAC3D1,0,0,0,1,0,1
SAMD8,0,0,0,1,0,1
SAP30L,0,0,0,1,0,1
SARAF,1,0,0,0,0,1
SAT1,0,0,0,1,0,1
SATB1,0,0,0,1,0,1
SATB2,0,0,0,0,1,1
SBDS,1,0,0,0,0,1
SCARF2,0,0,0,1,0,1
S100Z,1,0,0,0,0,1
STK32A,0,1,0,0,0,1
STK32B,0,1,0,0,0,1
STK36,0,0,0,1,0,1
STK38L,0,0,0,0,1,1
STKLD1,0,0,0,1,0,1
STRAP,0,0,0,1,0,1
STX16-NPEPL1,0,0,0,1,0,1
STX4,0,0,0,1,0,1
SLC39A8,1,0,0,0,0,1
SUCNR1,1,0,0,0,0,1
SUFU,0,0,0,0,1,1
SUGCT,0,1,0,0,0,1
SULT1C4,0,0,0,1,0,1
SUMO2,0,1,0,0,0,1
SUMO4,0,1,0,0,0,1
SUPT7L,0,0,0,1,0,1
SV2C,0,0,0,1,0,1
SUCLG1,1,0,0,0,0,1
SSBP2,0,0,0,1,0,1
ST3GAL1,0,0,0,1,0,1
STAG3L3,0,0,0,1,0,1
STAG3L5P-PVRIG2P-PILRB,0,0,0,1,0,1
STAP1,0,0,0,1,0,1
STARD8,0,1,0,0,0,1
STAT1,0,0,0,0,1,1
STAT2,0,0,0,1,0,1
STK17B,1,0,0,0,0,1
STAT5A,0,0,0,0,1,1
STAT5B,0,0,0,0,1,1
STAT6,0,1,0,0,0,1
STBD1,0,1,0,0,0,1
STEAP1B,0,1,0,0,0,1
STIM1,0,0,0,0,1,1
STIMATE,0,1,0,0,0,1
STIMATE-MUSTN1,0,1,0,0,0,1
STK17A,0,0,1,0,0,1
STAT3,0,0,0,1,0,1
TBC1D14,0,1,0,0,0,1
TBC1D16,0,1,0,0,0,1
TBC1D20,0,0,0,1,0,1
TBC1D32,0,0,0,1,0,1
TBC1D3D,0,0,0,1,0,1
TBC1D3E,0,0,0,1,0,1
TBC1D3L,0,0,0,1,0,1
TBCC,0,0,0,1,0,1
SYF2,1,0,0,0,0,1
TBX19,0,0,0,1,0,1
TBX3,0,1,0,0,0,1
TBXA2R,0,0,0,0,1,1
TCAP,0,0,0,1,0,1
TCEA2,0,0,0,1,0,1
TCF12,0,0,0,0,1,1
TCF15,0,0,0,1,0,1
TCF3,0,0,0,0,1,1
TCF4,1,0,0,0,0,1
TBL1XR1,0,0,0,0,1,1
SYK,0,1,0,0,0,1
SYNE1,0,0,0,1,0,1
SYNE2,0,1,0,0,0,1
SYNE3,0,0,0,0,1,1
SYNE4,0,0,0,1,0,1
SYNGR1,1,0,0,0,0,1
SYP,0,1,0,0,0,1
SYT11,0,1,0,0,0,1
TBC1D13,0,0,0,1,0,1
TAB2,0,0,0,0,1,1
TAFA2,0,1,0,0,0,1
TAGLN,0,0,0,1,0,1
TAGLN2,1,0,0,0,0,1
TALDO1,1,0,0,0,0,1
TAP1,0,1,0,0,0,1
TAS2R13,0,1,0,0,0,1
TAS2R4,0,0,0,1,0,1
TAS2R5,0,0,0,1,0,1
SYTL1,1,0,0,0,0,1
SMUG1,0,0,0,1,0,1
SMYD3,1,0,0,0,0,1
SNAI1,0,0,0,0,1,1
SNAI3,1,0,0,0,0,1
SND1,0,0,0,0,1,1
SNED1,0,0,0,1,0,1
SNPH,0,1,0,0,0,1
SNRNP70,0,0,0,1,0,1
SRSF5,1,0,0,0,0,1
SNRPB,1,0,0,0,0,1
SNRPC,1,0,0,0,0,1
SNRPE,0,0,0,1,0,1
SNTA1,0,1,0,0,0,1
SNX9,0,0,0,0,1,1
