gene,degree,betweenness,closeness,eigenvector,community,evidence_count,degree_rank,betweenness_rank,bridge_score,ENTREZID,druggability_score,drug_method,is_hub,is_bridge,is_core,is_druggable,degree_norm,between_norm,evidence_norm,drug_norm,target_score
MYC,69,0.2823346444264717,0.5846645367412141,0.6420993445802367,1,3,1,1,0,4609,3.23574,PhosphoScore,TRUE,FALSE,TRUE,TRUE,1,1,0.5,0.551276590669797,0.7602553181339594
JUN,48,0.11280282490723037,0.5304347826086957,0.2282964277982126,1,4,3,2,1,3725,-1.272426,PhosphoScore,TRUE,FALSE,TRUE,FALSE,0.6911764705882353,0.39953589520115573,0.75,-0.21678462025985001,0.46890319616473164
ITGB2,8,0.02618643152858805,0.3877118644067797,0.030116380353993145,4,3,100.5,14,86.5,3689,5.86954,proteoscore,FALSE,TRUE,TRUE,TRUE,0.10294117647058823,0.09274962193103359,0.5,1,0.3994322773273832
PCNA,31,0.01945879288472008,0.4704370179948586,0.7209824499983237,2,3,12,20,-8,5111,1.75361,proteoscore,TRUE,FALSE,TRUE,TRUE,0.4411764705882353,0.06892102428396005,0.5,0.2987644687658658,0.35589003978643574
MCM5,32,0.006537447094955205,0.44634146341463415,0.8420036908282257,2,3,9,60,-51,4174,0.42058,proteoscore,TRUE,FALSE,TRUE,TRUE,0.45588235294117646,0.02315495892555173,0.5,0.07165467822009902,0.3057266333114831
HIF1A,40,0.07023322176686901,0.5184135977337111,0.24697936048356275,1,2,5,5,0,3091,0,NA,TRUE,FALSE,FALSE,FALSE,0.5735294117647058,0.2487587802394538,0.25,0,0.2968105795773025
CDK1,51,0.10165532173546106,0.5243553008595988,1,2,2,2,3,-1,983,-2.113694150858324,VIPER+PhosphoScore,TRUE,FALSE,FALSE,FALSE,0.7352941176470589,0.36005259624429514,0.25,-0.3601124024809992,0.29557627404677683
RACGAP1,30,0.01075825603016181,0.4245939675174014,0.832248415852735,2,2,14.5,39,-24.5,29127,2.48082,PhosphoScore,TRUE,FALSE,FALSE,TRUE,0.4264705882352941,0.03810462599096151,0.25,0.4226600380949785,0.29509410928777624
PTPRC,25,0.07713300541103713,0.4474327628361858,0.08456444693216338,4,2,27.5,4,23.5,5788,1.37924,proteoscore,FALSE,TRUE,FALSE,TRUE,0.35294117647058826,0.2731970976063649,0.25,0.23498263918467208,0.28251830029938385
TYMS,39,0.042677503504710085,0.4704370179948586,0.8869911733850732,2,2,6,10,-4,7298,-0.423503,proteoscore,TRUE,FALSE,FALSE,FALSE,0.5588235294117647,0.15115928685055358,0.25,-0.07215267295222454,0.2584483816031952
CDC25C,29,0.0031844135358282495,0.43160377358490565,0.8403002450430218,2,2,17,84,-67,995,1.33624,PhosphoScore,TRUE,FALSE,FALSE,TRUE,0.4117647058823529,0.011278862154153968,0.25,0.22765668178426252,0.24631652055238915
MCM3,34,0.01160076708182683,0.45864661654135336,0.852295103861377,2,2,7,34,-27,4172,0.345654,proteoscore,TRUE,FALSE,FALSE,TRUE,0.4852941176470588,0.041088712670711625,0.25,0.05888945300653885,0.24058386842956772
IGF1R,11,0.013378412252910584,0.43364928909952605,0.08806908610955393,4,2,71.5,32,39.5,3480,3.27406,proteoscore,FALSE,FALSE,FALSE,TRUE,0.14705882352941177,0.04738494732053585,0.25,0.5578052113112782,0.24015567878518634
EGR1,20,0.007654588797889211,0.4216589861751152,0.09168871617100816,1,3,37.5,56,-18.5,1958,0,NA,FALSE,FALSE,TRUE,FALSE,0.27941176470588236,0.027111758861327738,0.5,0,0.23924588118403023
DPYSL2,9,0.017040973439871356,0.3682092555331992,0.043904306109067565,3,2,88,24,64,1808,3.32009,proteoscore,FALSE,TRUE,FALSE,TRUE,0.11764705882352941,0.060357358816124064,0.25,0.5656473931517632,0.23549506804063627
KIF20A,32,0.008850887724251095,0.41876430205949655,0.8669962848573985,2,2,9,48,-39,10112,0.411446,proteoscore,TRUE,FALSE,FALSE,TRUE,0.45588235294117646,0.031348925464781664,0.25,0.07009850857137016,0.23205419268958327
ASF1B,25,0.00394930353552018,0.3969631236442516,0.7122707197919438,2,2,27.5,76,-48.5,55723,1.40366,proteoscore,FALSE,FALSE,FALSE,TRUE,0.35294117647058826,0.013988023126041462,0.25,0.23914310150369533,0.23150857786712384
EIF4EBP1,9,0.0012120663362137076,0.4216589861751152,0.12413225578409115,1,2,88,109,-21,1978,3.32188,PhosphoScore,FALSE,FALSE,FALSE,TRUE,0.11764705882352941,0.004293013132256129,0.25,0.5659523574249431,0.22434319175849865
GATA2,19,0.03169309977222368,0.452970297029703,0.11146441619039098,1,2,40.5,12,28.5,2624,1.39184,proteoscore,FALSE,TRUE,FALSE,TRUE,0.2647058823529412,0.11225366917547203,0.25,0.2371293150740944,0.22428836155579562
PTTG1,31,0.008906052176518183,0.45073891625615764,0.864817423362978,2,2,12,47,-35,9232,0,NA,TRUE,FALSE,FALSE,FALSE,0.4411764705882353,0.03154431222781653,0.25,0,0.2136618036220339
ESPL1,21,8.724665832388362e-5,0.3796680497925311,0.6423406577107993,2,2,34,148,-114,9700,1.36289,PhosphoScore,FALSE,FALSE,FALSE,TRUE,0.29411764705882354,3.090186062752395e-4,0.25,0.23219707166149306,0.20973651217120073
BUB1,31,0.004095075383941749,0.4357142857142857,0.8662635708954352,2,2,12,73,-61,699,-0.0482370342822394,VIPER,TRUE,FALSE,FALSE,FALSE,0.4411764705882353,0.014504331879852696,0.25,-0.00821819670404144,0.2086101682116328
GINS2,29,9.610764531308537e-4,0.3978260869565217,0.8369351850723848,2,2,17,114,-97,51659,0,NA,TRUE,FALSE,FALSE,FALSE,0.4117647058823529,0.003404033022880217,0.25,0,0.19921021836928193
CKS1B,28,0.006190582276507895,0.43675417661097854,0.816483257787515,2,2,20.5,62,-41.5,1163,0,NA,TRUE,FALSE,FALSE,FALSE,0.39705882352941174,0.021926399748367065,0.25,0,0.19850292700849692
RUNX3,8,0.0020009156327996593,0.41123595505617977,0.05342368479462349,1,2,100.5,92,8.5,864,2.64346,proteoscore,FALSE,FALSE,FALSE,TRUE,0.10294117647058823,0.007087035446408905,0.25,0.4503691941787602,0.19737359886621028
FLI1,3,1.910071559632713e-4,0.366,0.04382251685907919,1,2,143.5,142,1.5,2313,3.32472,proteoscore,FALSE,FALSE,FALSE,TRUE,0.029411764705882353,6.765275170224999e-4,0.25,0.5664362113555748,0.19724607718628417
CKS2,28,0.004204061693169481,0.40848214285714285,0.798423440290357,2,2,20.5,71,-50.5,1164,0,NA,TRUE,FALSE,FALSE,FALSE,0.39705882352941174,0.014890350072728474,0.25,0,0.1970957170733692
YBX1,14,0.011802848665577436,0.4430992736077482,0.1548572934449788,6,2,60,33,27,4904,1.6062,PhosphoScore,FALSE,FALSE,FALSE,TRUE,0.19117647058823528,0.04180446466126564,0.25,0.27365006457064783,0.19544384702285328
INSIG1,10,0.007799342760018939,0.35260115606936415,0.08008596058590005,3,3,77.5,54,23.5,3638,0,NA,FALSE,FALSE,TRUE,FALSE,0.1323529411764706,0.027624462367565092,0.5,0,0.19523077482645418
RPL8,22,0.018130561240927774,0.4057649667405765,0.12007573493186935,6,2,32,23,9,6132,0.399979,proteoscore,FALSE,TRUE,FALSE,TRUE,0.3088235294117647,0.06421656569195676,0.25,0.06814486314089349,0.19411934459009944
CLSPN,20,0.003405851315284793,0.4226327944572748,0.5599317591170037,2,3,37.5,83,-45.5,63967,-1.26398,proteoscore,FALSE,FALSE,TRUE,FALSE,0.27941176470588236,0.012063171780435814,0.5,-0.21534566592952772,0.1931670305819463
ANGPT1,3,0,0.35952848722986247,0.015913161019492503,4,2,143.5,170,-26.5,284,3.11721,proteoscore,FALSE,FALSE,FALSE,TRUE,0.029411764705882353,0,0.25,0.5310825039100169,0.19004003019376808
ENO1,27,0.04670235211626978,0.4753246753246753,0.2146817986243848,3,2,23,9,14,2023,-1.00957,proteoscore,FALSE,TRUE,FALSE,FALSE,0.38235294117647056,0.16541488279321828,0.25,-0.1720015537844533,0.1883885481546942
NUSAP1,30,9.880036102988482e-4,0.40131578947368424,0.8576513235486619,2,2,14.5,113,-98.5,51203,-0.463909,proteoscore,TRUE,FALSE,FALSE,FALSE,0.4264705882352941,0.003499406218127629,0.25,-0.07903668771317685,0.1878337201715784
FDPS,9,0.0035821846292444755,0.3505747126436782,0.020601323533346205,3,3,88,82,6,2224,0,NA,FALSE,FALSE,TRUE,FALSE,0.11764705882352941,0.012687726072445856,0.5,0,0.18783166286154798
ETV6,10,0.014788019436272185,0.39956331877729256,0.04408809020817745,1,2,77.5,28,49.5,2120,1.79061,proteoscore,FALSE,TRUE,FALSE,TRUE,0.1323529411764706,0.05237762962569555,0.25,0.3050681995522648,0.18619504818853322
MECOM,6,6.030005491328482e-4,0.3609467455621302,0.021382718166401346,1,2,116.5,124,-7.5,2122,2.59815,proteoscore,FALSE,FALSE,FALSE,TRUE,0.07352941176470588,0.0021357653445533403,0.25,0.4426496795319565,0.18601591250471372
GMNN,21,0.011014455252772629,0.39019189765458423,0.6250366530398548,2,3,34,37,-3,51053,-1.76234,proteoscore,FALSE,FALSE,TRUE,FALSE,0.29411764705882354,0.03901205704013812,0.5,-0.3002518084892513,0.1859873438278244
LIG1,11,0.007758341337450069,0.37423312883435583,0.27375024109059815,2,2,71.5,55,16.5,3978,1.71722,proteoscore,FALSE,FALSE,FALSE,TRUE,0.14705882352941177,0.027479239585387016,0.25,0.2925646643518913,0.1831264278462792
NFKB2,9,9.168269369413666e-4,0.3961038961038961,0.050226382464650686,1,2,88,115,-27,4791,2.10388,proteoscore,FALSE,FALSE,FALSE,TRUE,0.11764705882352941,0.0032473058302986105,0.25,0.35844035478078357,0.18263164976927526
HMGCS1,8,4.016980070844239e-4,0.3204903677758319,0.00973235190227137,3,3,100.5,128,-27.5,3157,0,NA,FALSE,FALSE,TRUE,FALSE,0.10294117647058823,0.0014227726388322773,0.5,0,0.18116690746894293
CSNK1D,8,0.010424733455885087,0.40939597315436244,0.05498969558953978,6,2,100.5,42,58.5,1453,1.9035060258577048,VIPER,FALSE,FALSE,FALSE,TRUE,0.10294117647058823,0.03692332365750458,0.25,0.32430241992689457,0.1781275016580563
BAX,9,0.0030387001598253,0.41123595505617977,0.054274315214018765,1,2,88,85,3,581,1.86973,proteoscore,FALSE,FALSE,FALSE,TRUE,0.11764705882352941,0.010762760503579176,0.25,0.31854796116901835,0.1761562619815783
DHFR,10,0.004069783237000025,0.42857142857142855,0.20442954299512978,3,2,77.5,74,3.5,1719,1.70218,proteoscore,FALSE,FALSE,FALSE,TRUE,0.1323529411764706,0.014414749721088221,0.25,0.2900022829727713,0.17558928889171307
NFKBIA,25,0.022300156128211623,0.4765625,0.15174763440759328,1,2,27.5,17,10.5,4792,-0.674941,proteoscore,FALSE,TRUE,FALSE,FALSE,0.35294117647058826,0.07898483791640824,0.25,-0.114990442181159,0.17368123208822633
TUBB,25,0.05451060508299819,0.4728682170542636,0.2977084834061191,6,2,27.5,6,21.5,203068,-1.36029,proteoscore,FALSE,TRUE,FALSE,FALSE,0.35294117647058826,0.1930709041879356,0.25,-0.2317541067954218,0.17314571241967924
TTK,28,0.0020548017536358362,0.41216216216216217,0.8202853220881509,2,2,20.5,90,-69.5,7272,-0.664197,proteoscore,TRUE,FALSE,FALSE,FALSE,0.39705882352941174,0.007277894492225404,0.25,-0.11315997505767063,0.1729412309457345
STMN1,15,0.006323671233793448,0.43990384615384615,0.32622934484074667,3,2,54.5,61,-6.5,3925,0.8978033333333334,PhosphoScore,FALSE,FALSE,FALSE,TRUE,0.20588235294117646,0.02239778701844831,0.25,0.15295974358013292,0.1718362120020692
TK1,32,0.013937338181548438,0.45073891625615764,0.8406497314487996,2,2,9,31,-22,7083,-1.53478,proteoscore,TRUE,FALSE,FALSE,FALSE,0.45588235294117646,0.04936460493490069,0.25,-0.2614821604418745,0.1693411947809582
TRADD,10,0.01112080292716309,0.3616600790513834,0.03103798285903777,1,2,77.5,35,42.5,8717,1.35259,proteoscore,FALSE,FALSE,FALSE,TRUE,0.1323529411764706,0.039388729462350044,0.25,0.23044224930744148,0.1686720781068995
ATF3,20,0.009326256628012071,0.4420289855072464,0.11536988440189244,1,2,37.5,45,-7.5,467,0,NA,FALSE,FALSE,FALSE,FALSE,0.27941176470588236,0.033032632771501425,0.25,0,0.16543005596606497
RPS29,17,0.003881008075052598,0.36381709741550694,0.038715377122785624,6,2,48.5,77,-28.5,6235,0.462091,proteoscore,FALSE,FALSE,FALSE,TRUE,0.23529411764705882,0.01374612769515548,0.25,0.07872695304913162,0.16408285144297508
PER1,4,8.107307822780391e-4,0.32332155477031804,0.0058663269875179475,1,3,134.5,117,17.5,5187,0,NA,FALSE,FALSE,TRUE,FALSE,0.04411764705882353,0.002871524264848685,0.5,0,0.16380959897061678
PHB,18,0.01896521396675435,0.45185185185185184,0.24765473508696215,3,2,44,21,23,NA,0,NA,FALSE,TRUE,FALSE,FALSE,0.25,0.06717281899739885,0.25,0,0.16343456379947977
MND1,21,8.981143923188804e-6,0.3860759493670886,0.6667834330259453,2,2,34,155,-121,84057,0,NA,FALSE,FALSE,FALSE,FALSE,0.29411764705882354,3.1810279398877524e-5,0.25,0,0.16324165617352682
CHAF1B,19,0.010453207950847284,0.4295774647887324,0.5218891858813953,2,2,40.5,41,-0.5,8208,0,NA,FALSE,FALSE,FALSE,FALSE,0.2647058823529412,0.037024177362582254,0.25,0,0.1618166001783988
FES,1,0,0.2695139911634757,0.0016650019657238981,3,2,175.5,170,5.5,2242,2.42517,proteoscore,FALSE,FALSE,FALSE,TRUE,0,0,0.25,0.41317888625002985,0.157635777250006
DUSP1,18,0.010683109139984923,0.42757009345794394,0.10797183835609629,1,2,44,40,4,1843,0,NA,FALSE,FALSE,FALSE,FALSE,0.25,0.03783846350732604,0.25,0,0.1575676927014652
APAF1,8,0.0016775911383070487,0.4216589861751152,0.094507694628675,1,2,100.5,97,3.5,317,1.40506,proteoscore,FALSE,FALSE,FALSE,TRUE,0.10294117647058823,0.005941853652834103,0.25,0.2393816210469645,0.15494704788113617
HK2,9,0.0014571596089074058,0.4066666666666667,0.05828230860328624,3,2,88,101,-13,3099,1.25346,proteoscore,FALSE,FALSE,FALSE,TRUE,0.11764705882352941,0.005161108059789996,0.25,0.2135533619329624,0.1540370116456093
TUBA1A,15,0.021122137616717634,0.4609571788413098,0.1278720951104478,3,2,54.5,18,36.5,7846,0,NA,FALSE,TRUE,FALSE,FALSE,0.20588235294117646,0.07481241864463595,0.25,0,0.15172718961128012
RPS28,17,0.004210614164805335,0.3485714285714286,0.03039360227483006,6,2,48.5,70,-21.5,6234,0,NA,FALSE,FALSE,FALSE,FALSE,0.23529411764705882,0.014913558247018116,0.25,0,0.14857094694352127
GPHN,2,2.3244003144609921e-4,0.29373996789727125,0.003986347027403966,4,2,157.5,138,19.5,10243,1.99276,proteoscore,FALSE,FALSE,FALSE,TRUE,0.014705882352941176,8.232784606305496e-4,0.25,0.33950871788930653,0.14747816397586977
DDIT3,15,0.014963428527413223,0.3893617021276596,0.046262625349969506,6,2,54.5,26,28.5,1649,0,NA,FALSE,TRUE,FALSE,FALSE,0.20588235294117646,0.05299891041643011,0.25,0,0.14736448796563895
TNFAIP3,16,0.007531062534383663,0.4255813953488372,0.07323088513422583,1,2,51,57,-6,7128,0,NA,FALSE,FALSE,FALSE,FALSE,0.22058823529411764,0.026674241659864643,0.25,0,0.14651131892020822
MAP2K4,3,0,0.3885350318471338,0.03710305752303349,1,2,143.5,170,-26.5,6416,1.79308,proteoscore,FALSE,FALSE,FALSE,TRUE,0.029411764705882353,0,0.25,0.3054890161750325,0.1449213326467712
RPS21,15,0.0037213326259115807,0.3433395872420263,0.02515592438130681,6,2,54.5,80,-25.5,6227,0,NA,FALSE,FALSE,FALSE,FALSE,0.20588235294117646,0.013180573830997654,0.25,0,0.13940082064855247
RPL31,15,0.0014425189734337388,0.35812133072407043,0.03769327108296135,6,2,54.5,102,-47.5,6160,0,NA,FALSE,FALSE,FALSE,FALSE,0.20588235294117646,0.005109252448859188,0.25,0,0.13778655637212478
MED12,3,0.002161145295135336,0.37731958762886597,0.028115334930825478,1,2,143.5,87,56.5,9968,1.51603,proteoscore,FALSE,FALSE,FALSE,TRUE,0.029411764705882353,0.007654552276166598,0.25,0.2582877022730913,0.13701198032161627
SOD2,18,0.018596928728220587,0.44096385542168676,0.09906954030563522,3,2,44,22,22,6648,-0.82103,proteoscore,FALSE,TRUE,FALSE,FALSE,0.25,0.06586839091602793,0.25,-0.13987978615019236,0.1351977209531671
HSPE1,13,0.00808797931011594,0.386892177589852,0.1125433208585293,3,2,63.5,53,10.5,3336,0,NA,FALSE,FALSE,FALSE,FALSE,0.17647058823529413,0.02864678306321805,0.25,0,0.13367053308323185
RPL38,14,0.0012340368935777734,0.3560311284046693,0.032035127282107695,6,2,60,108,-48,6169,0,NA,FALSE,FALSE,FALSE,FALSE,0.19117647058823528,0.004370830565567213,0.25,0,0.13322710728958403
UBE2T,23,8.819516721970087e-5,0.391025641025641,0.7108478189595646,2,2,31,147,-116,29089,-1.14783,proteoscore,FALSE,FALSE,FALSE,FALSE,0.3235294117647059,3.123781263148154e-4,0.25,-0.1955570623933051,0.1330098866760137
CENPU,26,2.8412645880910355e-4,0.3935483870967742,0.7833829105811552,2,2,24.5,135,-110.5,79682,-1.6264,proteoscore,FALSE,FALSE,FALSE,FALSE,0.36764705882352944,0.0010063464205261514,0.25,-0.27709156083781694,0.1300770747636007
SQSTM1,20,0.0287013211175856,0.4575,0.13763091419247037,1,2,37.5,13,24.5,8878,-1.45026,proteoscore,FALSE,TRUE,FALSE,FALSE,0.27941176470588236,0.101657099772112,0.25,-0.24708239487251132,0.12973847039168482
TPX2,26,0.0021083077279063184,0.42857142857142855,0.7845845629158331,2,2,24.5,89,-64.5,22974,-1.68969,PhosphoScore,FALSE,FALSE,FALSE,FALSE,0.36764705882352944,0.00746740709837111,0.25,-0.2878743479046058,0.12921272948581186
RPL36A,13,8.509086637539514e-4,0.3539651837524178,0.029789401873753212,6,2,63.5,116,-52.5,6173,0,NA,FALSE,FALSE,FALSE,FALSE,0.17647058823529413,0.0030138301499713868,0.25,0,0.12854394250058251
SSH1,1,0,0.28773584905660377,0.002503976260722265,5,2,175.5,170,5.5,54434,1.50089,PhosphoScore,FALSE,FALSE,FALSE,TRUE,0,0,0.25,0.2557082837837378,0.12614165675674754
ACAT2,11,0.008592323649996639,0.34923664122137404,0.017362538032749345,3,2,71.5,50,21.5,39,0,NA,FALSE,FALSE,FALSE,FALSE,0.14705882352941177,0.030433118356590256,0.25,0,0.12520427073014156
RPL39,12,6.055388832199669e-4,0.35260115606936415,0.029039064890242917,6,2,66.5,122.5,-56,6170,0,NA,FALSE,FALSE,FALSE,FALSE,0.16176470588235295,0.0021447558603728744,0.25,0,0.12395836293678045
RPL37,12,6.055388832199669e-4,0.35260115606936415,0.02903906489024287,6,2,66.5,122.5,-56,6167,0,NA,FALSE,FALSE,FALSE,FALSE,0.16176470588235295,0.0021447558603728744,0.25,0,0.12395836293678045
SLC2A1,14,0.004311438681023754,0.44096385542168676,0.13903963190098745,3,2,60,69,-9,6513,-0.360221,proteoscore,FALSE,FALSE,FALSE,FALSE,0.19117647058823528,0.015270668216371087,0.25,-0.061371248854254344,0.12313282504889392
FDXR,9,0.016057268031490216,0.373469387755102,0.056323294875381014,3,2,88,25,63,2232,0,NA,FALSE,TRUE,FALSE,FALSE,0.11764705882352941,0.05687317638297132,0.25,0,0.12166875292365309
ECHS1,9,0.010045219292919917,0.36237623762376237,0.029639963316382075,3,2,88,44,44,1892,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.03557912389152791,0.25,0,0.1174099424253644
MRPL4,17,0.004163578941693741,0.3567251461988304,0.03599865369710416,6,2,48.5,72,-23.5,51073,-0.933456,proteoscore,FALSE,FALSE,FALSE,FALSE,0.23529411764705882,0.014746964369716446,0.25,-0.15903392770131902,0.11673084262779712
CD38,9,0.009031996608751019,0.39019189765458423,0.03209080617347339,4,2,88,46,42,952,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.0319903943318696,0.25,0,0.11669219651343274
MED13L,2,0,0.30247933884297523,0.00465444170941774,1,2,157.5,170,-12.5,23389,1.08624,proteoscore,FALSE,FALSE,FALSE,TRUE,0.014705882352941176,0,0.25,0.18506390620048593,0.11642454594597954
FDFT1,9,0.00666825891128757,0.35192307692307695,0.017708839643430365,3,2,88,59,29,2222,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.02361828079877807,0.25,0,0.11501777380681444
